   0.00000000      -6.9999999999999947       -6.9999999999999849       -5.0000000000000151       -5.0000000000000089     
  0.157894745      -7.0624446494610318       -7.0624438960935265       -5.3486413925406220       -5.3486406391730963     
  0.315789461      -7.2513178917723398       -7.2511398232125570       -5.8067219529968481       -5.8065438844370671     
  0.473684222      -7.5730264643911154       -7.5690945065280362       -6.3644888720161825       -6.3605569141530980     
  0.631578922      -8.0459596500121577       -8.0154358420836331       -7.0072736085028957       -6.9767498005743347     
  0.789473653      -8.6989521669373584       -8.5778747334482688       -7.7178709455057355       -7.5967935120166779     
  0.947368443      -9.5295236596488504       -9.2337657316711628       -8.4801111985513984       -8.1843532705737090     
   1.10526311      -10.490016733221502       -9.9589332948528728       -9.2808639396576496       -8.7497805012889565     
   1.26315784      -11.533117920644260       -10.733797721123249       -10.110282560125510       -9.4105078203980312     
   1.42105258      -12.629204210663312       -11.544345021103874       -10.961229818598495       -10.268110437707374     
   1.57894742      -13.760991001744477       -12.380940108220086       -11.828575700138865       -11.144636402506611     
   1.73684216      -14.917988182118055       -13.236960405603662       -12.708609795079779       -12.034276496685100     
   1.89473689      -16.093484917833425       -14.107785711660050       -13.598618652762900       -12.933487896103475     
   2.05263162      -17.282980334061484       -14.990123525737935       -14.496586714693736       -13.839959074257514     
   2.21052623      -18.483336358198308       -15.881576058318672       -15.400993252252228       -14.752099623646060     
   2.36842108      -19.692298453533425       -16.780363995967097       -16.310676576898107       -15.668772447007713     
   2.52631569      -20.908195214180303       -17.685135742454403       -17.224730188095410       -16.589131666489543     
   2.68421054      -22.129770199086600       -18.594855079733492       -18.142445616715914       -17.512539701783332     
   2.84210515      -23.356049163838264       -19.508706673321267       -19.063253471393438       -18.438496982870820     
   3.00000000      -24.586275728866031       -20.426048913033966       -19.986700000357107       -19.366614028856137     
